municipality,province,latitude,longitude,surface_km2,surface_land_km2,surface_water_km2,population,avg_household_income_2012,avg_woz_2014,ww_ratio_2014,murders_2014,university,asylum_migrants_1999,asylum_migrants_2000,asylum_migrants_2001,asylum_migrants_2002,asylum_migrants_2003,asylum_migrants_2004,asylum_migrants_2005,asylum_migrants_2006,asylum_migrants_2007,asylum_migrants_2008,asylum_migrants_2009,asylum_migrants_2010,asylum_migrants_2011,asylum_migrants_2012,asylum_migrants_2013,asylum_migrants_2014,asylum_migrants_2015,flag_color1,flag_color2,flag_color3,flag_color4,shield_symbol_1,shield_symbol_2,shield_symbol_3,shieldholder_1,shieldholder_2,shield_crown
Dantumadiel,Friesland,53.272.981,5.985.930,87.5,85.4,2.1,19035,31500,168000,0.05,0,0,90,70,60,40,35,25,20,15,10,15,15,15,10,10,10,10,5,white,red,yellow,green,fox,wave,,,,crown
De Bilt,Utrecht,52.109.272,5.180.968,67.1,66.3,0.8,42013,43100,338000,0.04,1,0,145,145,150,135,115,100,100,105,105,105,105,95,105,105,100,95,95,yellow,blue,black,white,grate,,,,,crown
De Fryske Marren,Friesland,52.948.003,5.791.388,559.9,361.8,198.1,51223,,,,0,0,220,165,145,105,85,70,60,50,50,55,50,50,45,40,35,30,35,blue,white,yellow,red,hare,orb and cross,,,,crown
De Marne,Groningen,53.360.934,6.380.521,240.3,168.2,72.1,10205,30500,145000,0.04,1,0,25,20,20,20,20,30,30,15,15,10,10,5,5,5,5,5,5,blue,white,yellow,,key,wave,,,,crown
De Ronde Venen,Utrecht,52.206.680,4.886.773,117.0,100.8,16.2,42648,42700,300000,0.04,0,0,105,105,105,105,95,90,90,75,75,65,65,70,75,60,60,60,60,,,,,agnus dei,key,snake,,,crown
De Wolden,Drenthe,52.681.979,6.366.039,226.4,224.8,1.6,23592,36300,252000,0.04,0,0,65,60,45,45,35,35,30,25,25,20,20,20,20,20,20,20,20,yellow,green,black,white,forest,,,,,crown
Delft,Zuid-Holland,52.011.577,4.357.068,24.1,22.8,1.2,101493,32100,181000,0.03,1,1,1080,1105,1170,1145,1110,1085,1070,1060,1040,1000,960,935,885,860,825,800,770,white,black,,,,,,lion,lion,crown
Delfzijl,Groningen,53.331.027,6.924.460,227.5,133.1,94.4,25686,30600,132000,0.05,0,0,180,135,115,105,95,95,95,75,70,60,55,55,50,50,50,50,50,yellow,blue,red,black,harpy,church,wave,lion,lion,crown
Den Helder,Noord-Holland,52.956.281,4.760.797,178.8,42.3,133.6,56553,30400,147000,0.03,0,0,340,270,270,260,235,225,195,180,180,165,170,160,160,155,145,135,135,yellow,red,black,,,,,,,crown
Deurne,Noord-Brabant,51.464.220,5.795.068,118.4,117.0,1.3,31669,36000,254000,0.04,1,0,100,95,95,85,90,85,80,75,75,75,80,70,70,75,65,65,60,black,red,yellow,,cross,,,,,saint willibrord
Deventer,Overijssel,52.266.075,6.155.217,134.3,131.2,3.1,98327,32800,191000,0.05,0,0,635,715,705,670,635,615,610,575,565,535,510,495,485,455,435,430,430,red,white,black,,eagle,,,knight,knight,crown
Diemen,Noord-Holland,52.338.993,4.959.189,14.0,12.0,2.0,25980,35200,202000,0.03,0,0,85,80,95,95,110,100,90,85,80,85,80,85,80,90,90,105,105,blue,white,black,,duck,,,,,crown
Dinkelland,Overijssel,52.407.617,6.897.260,176.8,175.8,1.1,25937,38300,248000,0.04,0,0,95,60,70,65,50,45,40,35,35,30,25,25,25,20,15,15,15,blue,white,green,,lion,cross,,,,crown
Doesburg,Gelderland,52.014.288,6.139.782,13.0,11.6,1.4,11449,32100,190000,0.05,0,0,25,25,25,25,20,15,20,25,15,15,25,30,25,25,25,20,20,white,red,yellow,,stronghold,moon,,,,crown
Doetinchem,Gelderland,51.964.699,6.293.774,79.7,79.1,0.6,56350,33200,194000,0.05,0,0,345,350,375,360,375,360,330,265,250,240,240,225,205,200,195,180,175,white,blue,yellow,,lion,flower,crown,,,crown
Dongen,Noord-Brabant,51.628.710,4.938.239,29.7,29.3,0.4,25389,35900,226000,0.04,0,0,170,175,135,120,120,120,110,105,110,85,70,75,70,65,60,55,55,red,white,,,,,,,,crown
Dongeradeel,Friesland,53.324.884,5.996.639,266.9,167.2,99.7,24183,30400,149000,0.05,0,0,205,135,110,110,105,90,80,70,60,50,45,40,30,30,30,30,25,red,white,blue,yellow,star,moon,,,,crown
Dordrecht,Zuid-Holland,51.813.298,4.690.093,99.5,79.0,20.5,118716,32600,159000,0.04,0,0,915,975,950,955,915,885,835,820,765,755,715,710,675,630,635,595,575,red,white,,,,,,griffin,griffin,crown
Drechterland,Noord-Holland,52.653.307,5.183.589,80.7,59.1,21.6,19257,37600,231000,0.03,0,0,40,40,40,45,35,25,25,20,20,20,20,15,15,15,15,15,15,white,yellow,green,,sword,flower,,,,crown
Drimmelen,Noord-Brabant,51.708.552,4.803.490,119.4,96.1,23.3,26705,38000,234000,0.04,0,0,80,80,70,65,60,60,50,45,40,40,40,40,35,35,35,30,30,white,green,blue,,,,,,,
Dronten,Flevoland,52.534.682,5.721.809,423.9,333.9,90.0,40451,34800,195000,0.04,1,0,180,130,125,125,130,115,120,110,110,105,110,105,110,110,80,80,80,green,white,,,lily,ring,pedestal,horse,horse,crown
Druten,Gelderland,51.894.084,5.594.272,42.5,37.7,4.8,18206,36200,230000,0.04,0,0,55,60,60,60,65,60,60,50,45,40,35,40,30,35,30,25,25,white,green,black,yellow,lion,,,,,crown
Duiven,Gelderland,51.947.458,6.017.950,35.2,33.9,1.3,25580,36200,210000,0.05,0,0,85,90,85,85,80,75,75,65,70,70,75,75,80,80,90,80,80,blue,white,yellow,red,dove,shield,carbuncle,,,
Echt-Susteren,Limburg,51.093.224,5.907.364,104.5,103.1,1.4,31940,34100,192000,0.04,0,0,255,185,160,130,130,130,145,135,125,115,110,105,105,105,105,100,100,red,blue,white,yellow,cross,branch,,woman,woman,crown
Edam-Volendam,Noord-Holland,52.504.541,5.045.998,24.8,16.3,8.5,28934,40600,238000,0.02,1,0,100,95,85,85,85,85,90,85,85,80,80,70,65,55,50,50,50,white,purple,red,green,bull,star,,,,bear
Ede,Gelderland,52.040.168,5.664.859,318.6,318.3,0.4,110657,36400,233000,0.03,0,0,325,330,335,310,310,315,300,270,250,245,235,230,215,215,210,215,210,yellow,blue,,,dutch maiden,liberty hat,bible,,,
Eemnes,Utrecht,52.253.746,5.261.275,33.7,31.1,2.6,8773,40100,291000,0.03,0,0,25,25,25,25,25,20,15,15,20,15,15,15,15,20,20,20,15,red,white,yellow,,bisshop,,,,,crown
Eemsmond,Groningen,53.400.344,6.648.410,543.4,189.8,353.5,15910,30700,154000,0.05,0,0,105,100,80,80,55,45,45,40,30,20,20,20,20,20,15,15,15,green,yellow,blue,white,mermaid,lily,cross,,,crown
Eersel,Noord-Brabant,51.357.808,5.315.912,83.3,82.5,0.9,18201,39500,298000,0.03,0,0,50,45,40,35,30,35,30,25,20,15,15,15,15,10,15,15,10,black,yellow,white,red,stronghold,shield,lion,,,crown
Eijsden-Margraten,Limburg,50.819.960,5.821.457,78.3,77.4,0.9,24980,38200,237000,0.04,0,0,90,95,95,85,75,55,65,60,55,45,45,50,45,40,45,40,40,black,grey,red,yellow,eagle,cross,,,,crown
Eindhoven,Noord-Brabant,51.441.642,5.469.722,88.9,87.7,1.2,220782,32000,209000,0.04,4,1,1415,1505,1450,1385,1335,1290,1190,1185,1160,1195,1195,1205,1215,1215,1200,1185,1175,red,white,,,lion,horn,,,,crown
Elburg,Gelderland,52.449.263,5.834.519,65.9,63.8,2.1,22658,35200,240000,0.04,0,0,110,115,120,105,100,95,65,65,55,55,45,40,35,35,30,35,30,blue,white,red,yellow,gatehouse,branch,,lion,lion,crown
Emmen,Drenthe,52.713.237,6.955.777,346.3,336.4,9.9,108003,30700,156000,0.06,0,0,545,510,440,420,415,380,350,350,330,325,315,305,290,285,280,275,275,white,black,green,yellow,plow,peat cutter,,horse,horse,crown
Enkhuizen,Noord-Holland,52.707.566,5.274.120,116.3,12.4,103.8,18395,32700,180000,0.04,0,0,80,65,55,45,45,40,40,35,35,30,25,25,30,20,20,15,15,red,yellow,white,black,herring,star,crown,woman,,
Enschede,Overijssel,52.221.537,6.893.662,142.7,141.0,1.7,158542,29600,155000,0.04,2,1,1330,1290,1260,1225,1175,1175,1175,1160,1145,1135,1095,1080,1060,1025,1000,975,970,white,red,,,cross,,,lion,lion,crown
Epe,Gelderland,52.345.017,5.983.654,157.4,156.3,1.1,32352,35600,266000,0.04,0,0,150,150,135,135,130,125,120,115,110,100,100,100,100,100,95,85,80,blue,yellow,,,dutch maiden,liberty hat,bible,,,
Ermelo,Gelderland,52.298.665,5.629.619,87.3,85.6,1.7,26080,36300,262000,0.03,1,0,190,170,155,155,140,130,125,130,130,125,115,105,100,90,90,85,85,blue,yellow,white,black,peacock,cross,,,,crown
Etten-Leur,Noord-Brabant,51.586.886,4.667.138,55.9,55.4,0.6,42351,35600,224000,0.05,0,0,115,125,125,145,160,155,160,145,125,125,120,120,120,115,115,100,100,red,white,,,stronghold,,,,,crown
Ferwerderadiel,Friesland,53.337.834,5.823.835,133.2,97.7,35.5,8771,31800,148000,0.04,0,0,20,20,15,10,5,5,0,0,5,5,5,5,5,0,0,0,0,yellow,blue,,,star,,,,,crown
Geertruidenberg,Noord-Brabant,51.702.366,4.849.978,29.6,26.6,3.0,21597,35600,204000,0.05,1,0,125,70,55,45,45,45,45,35,35,40,35,30,30,30,30,30,25,red,yellow,green,black,lion,spear,,,,crown
Geldermalsen,Gelderland,51.884.365,5.229.359,101.7,100.0,1.8,26339,39500,278000,0.03,1,0,105,95,95,90,70,70,65,65,65,60,55,55,55,55,50,50,45,yellow,red,blue,black,horse,lily,pillar,,,crown
Geldrop-Mierlo,Noord-Brabant,51.432.447,5.582.970,31.4,31.0,0.4,38854,35400,233000,0.04,1,0,135,145,125,125,105,100,100,100,100,90,85,80,80,85,80,80,85,yellow,blue,red,,leaf,millrind,,,,crown
Gemert-Bakel,Noord-Brabant,51.555.289,5.690.366,123.3,122.5,0.8,29354,35500,244000,0.04,0,0,65,65,75,75,70,75,70,70,60,60,65,60,45,40,40,45,45,white,red,black,yellow,eagle,cross,,,,crown
Gennep,Limburg,51.697.854,5.972.675,50.4,47.7,2.7,17285,34500,215000,0.05,0,0,125,95,70,60,45,40,40,40,35,50,45,45,55,55,45,45,45,red,yellow,,,cross,scissors,,,,crown
Giessenlanden,Zuid-Holland,51.865.735,4.924.345,65.1,63.6,1.5,14423,41700,281000,0.03,0,0,45,45,35,30,25,20,20,15,15,10,15,15,15,15,10,10,10,red,white,blue,,wave,,,,,crown
Gilze en Rijen,Noord-Brabant,51.559.855,4.909.254,65.7,65.5,0.2,26013,35700,233000,0.04,1,0,85,90,85,75,85,75,70,55,50,45,40,40,35,35,35,35,30,blue,yellow,,,saint peter,,,,,
Goeree-Overflakkee,Zuid-Holland,51.759.197,4.116.981,422.3,262.0,160.3,48233,36500,220000,0.03,0,0,145,120,110,100,95,90,75,55,40,35,35,25,20,20,20,20,20,white,green,black,blue,corn,wave,,,,crown
Goes,Zeeland,51.504.646,3.891.130,101.9,92.7,9.2,36977,33600,198000,0.04,0,0,175,175,175,160,145,155,150,140,150,155,135,135,125,125,105,110,110,red,white,,,lion,goose,,,,crown
Goirle,Noord-Brabant,51.523.677,5.064.195,42.3,42.1,0.3,23060,38100,251000,0.04,0,0,65,65,60,55,55,60,60,60,65,65,60,60,55,55,55,55,50,white,blue,yellow,red,head,,,,,
Gooise Meren,Noord-Holland,52.304.762,5.139.699,73.5,40.0,33.5,56687,,,,0,0,,,,,,,,,,,,,,,,,,yellow,black,,,eagle,buckwheat,,,,
Gorinchem,Zuid-Holland,51.837.225,4.975.829,21.9,18.9,3.0,35252,34000,194000,0.04,0,0,140,120,120,115,120,120,125,130,150,135,135,135,130,120,110,100,105,white,red,,,gatehouse,shield,,lion,lion,crown
Gouda,Zuid-Holland,52.011.521,4.710.463,18.1,16.9,1.3,70923,35000,182000,0.04,1,0,330,350,370,340,320,320,295,290,290,270,270,265,255,245,235,230,225,red,white,,,star,,,lion,lion,crown
Grave,Noord-Brabant,51.759.005,5.738.560,28.0,27.2,0.9,12696,35300,215000,0.04,0,0,125,80,65,65,75,65,60,65,55,35,30,30,15,15,15,10,10,yellow,red,,,martlet,stronghold,,,,crown
Groningen,Groningen,53.219.383,6.566.502,83.8,78.1,5.7,198108,28500,157000,0.03,3,1,1190,1130,1105,1060,995,940,880,880,875,875,855,840,850,870,885,890,860,white,green,,,eagle,heart,,lion,lion,crown
Grootegast,Groningen,53.211.132,6.274.589,87.7,86.8,1.0,12193,32500,192000,0.04,0,0,40,45,45,35,25,25,25,15,15,15,15,15,15,10,10,5,5,red,white,yellow,,stronghold,,,,,crown
Gulpen-Wittem,Limburg,50.800.934,5.897.288,73.4,73.2,0.2,14492,35200,204000,0.04,0,0,110,90,75,55,45,35,30,30,30,35,25,20,20,25,25,25,25,white,blue,,,lion,eagle,cross,,,crown
Haaksbergen,Overijssel,52.160.665,6.738.100,105.5,104.9,0.6,24357,35600,215000,0.05,0,0,80,90,85,80,65,65,60,60,60,60,55,50,50,50,50,45,45,red,blue,yellow,,star,,,,,crown
Haaren,Noord-Brabant,51.602.133,5.226.712,58.6,57.7,0.8,13578,40800,332000,0.03,0,0,25,25,15,20,20,25,25,25,20,20,20,25,20,20,20,20,15,blue,white,,,tree,millrind,,,,crown
Haarlem,Noord-Holland,52.387.388,4.646.219,32.1,29.2,2.9,155205,34300,229000,0.04,0,0,700,705,700,680,705,680,665,630,620,610,605,605,605,580,590,575,555,red,white,yellow,,sword,star,cross,lion,lion,crown
Haarlemmerliede en Spaarnwoude,Noord-Holland,52.414.352,4.692.848,21.2,19.2,2.0,5547,40300,267000,0.03,0,0,20,20,20,15,15,15,15,15,15,15,15,15,15,15,15,15,15,white,blue,red,,lion,,,,,crown
Haarlemmermeer,Noord-Holland,52.300.378,4.674.359,185.3,178.7,6.6,144166,39700,248000,0.04,0,0,265,270,290,275,310,310,315,355,375,370,370,380,380,380,380,375,375,blue,white,yellow,,corn,wave,,,,crown
Halderberge,Noord-Brabant,51.586.263,4.513.956,75.2,74.6,0.7,29379,36200,232000,0.05,0,0,205,150,140,120,95,85,85,80,75,70,65,65,65,60,60,60,60,green,white,red,,stronghold,tree,duck,,,crown
Hardenberg,Overijssel,52.575.408,6.616.695,317.1,312.5,4.7,59592,34000,197000,0.05,0,0,225,195,170,155,145,130,115,115,100,95,95,85,85,80,75,75,75,yellow,blue,red,,trefoil,wave,,,,crown
Harderwijk,Gelderland,52.342.202,5.636.742,48.3,38.6,9.7,45741,34800,215000,0.04,0,0,250,240,245,235,225,205,195,185,175,190,180,175,180,180,175,170,165,yellow,blue,,,lion,,,lion,lion,crown
Hardinxveld-Giessendam,Zuid-Holland,51.832.430,4.833.641,19.4,16.9,2.4,17736,37500,225000,0.03,0,0,55,50,55,55,50,50,50,50,45,35,30,30,30,30,30,30,25,white,red,black,blue,water wheel,raven,,,,crown
Haren,Groningen,53.171.826,6.605.243,50.7,45.6,5.2,18790,41300,261000,0.03,0,0,35,45,45,50,40,45,40,30,30,35,30,30,20,20,20,15,15,white,blue,yellow,red,bell,eagle,,,,crown
Harlingen,Friesland,53.174.638,5.425.152,387.7,25.0,362.6,15810,30100,153000,0.05,0,0,210,145,100,70,70,75,45,30,30,30,30,30,30,30,25,25,25,yellow,blue,red,white,lily,cross,,saint michael,,crown
Hattem,Gelderland,52.473.931,6.068.176,24.2,23.1,1.1,11742,37700,253000,0.04,0,0,60,60,55,55,55,55,55,45,45,40,40,40,40,30,30,25,25,blue,yellow,,,lion,crown,,lion,lion,crown
Heemskerk,Noord-Holland,52.514.146,4.682.137,31.7,27.3,4.4,39092,35600,212000,0.03,0,0,150,155,155,185,180,175,155,150,140,150,160,170,165,165,150,155,150,blue,white,,,lion,,,,,
Heemstede,Noord-Holland,52.351.063,4.620.300,9.6,9.2,0.4,26320,47600,370000,0.03,0,0,70,75,70,65,65,60,60,60,50,45,50,45,40,40,40,35,35,yellow,red,,,duck,,,griffin,griffin,crown
Heerde,Gelderland,52.390.918,6.049.638,80.4,78.8,1.7,18515,36200,254000,0.04,0,0,80,75,50,50,50,55,40,35,30,25,25,20,20,25,25,20,20,yellow,red,blue,white,sheep,ox,plow,,,
Heerenveen,Friesland,52.960.561,5.920.522,187.8,180.9,6.9,49388,32600,183000,0.05,0,0,290,250,240,235,230,195,180,160,160,160,145,145,140,130,125,135,130,white,black,blue,red,wheel,sword,tree,,,crown
Heerhugowaard,Noord-Holland,52.662.677,4.832.477,40.0,38.4,1.6,53246,35300,203000,0.03,0,0,105,120,125,120,130,130,145,155,160,165,165,160,160,155,160,160,165,yellow,white,blue,,corn,heron,,,,
Heerlen,Limburg,50.888.174,5.979.499,45.5,45.0,0.5,88202,28200,123000,0.05,0,0,745,695,665,565,565,545,550,535,520,495,495,480,465,455,450,435,420,blue,yellow,,,lion,crown,,,,crown
Heeze-Leende,Noord-Brabant,51.360.442,5.598.460,105.0,104.0,1.0,15376,40200,312000,0.03,0,0,60,60,65,70,70,60,60,55,40,40,40,35,35,35,30,30,30,yellow,red,green,,horn,,,,,oak
Heiloo,Noord-Holland,52.601.234,4.700.493,19.0,18.7,0.3,22626,40200,288000,0.03,0,0,70,80,80,75,75,75,70,60,65,65,60,60,65,55,50,50,45,white,yellow,red,grey,cross,,,griffin,lion,crown
Hellendoorn,Overijssel,52.376.905,6.459.724,139.0,138.1,0.9,35697,34700,224000,0.05,0,0,105,110,95,95,80,80,70,65,65,70,65,60,55,50,50,45,45,blue,yellow,red,green,deer,tree,,,,crown
Hellevoetsluis,Zuid-Holland,51.831.863,4.131.810,46.3,31.6,14.7,38918,36500,195000,0.04,0,0,260,230,190,170,175,170,160,135,140,145,145,135,120,115,110,110,105,blue,red,green,,ship,agnus dei,horn,,,crown
Helmond,Noord-Brabant,51.479.255,5.657.010,54.8,53.2,1.5,89346,32900,206000,0.05,1,0,460,415,355,315,315,295,270,260,260,255,260,250,250,255,245,240,235,white,red,,,helmet,,,,,crown
Hendrik-Ido-Ambacht,Zuid-Holland,51.842.397,4.639.506,11.9,10.7,1.2,28952,39100,215000,0.03,0,0,85,85,90,85,95,80,60,70,60,55,65,65,65,65,70,70,70,white,red,black,,cross,,,lion,lion,crown
Hengelo,Overijssel,52.257.412,6.792.772,61.8,60.9,0.9,80975,32200,168000,0.05,2,0,580,565,565,540,550,560,545,520,495,475,460,455,445,455,440,430,440,blue,white,,,beehive,corn,bee,,,
Heumen,Gelderland,51.764.532,5.843.150,41.5,39.9,1.7,16342,40000,273000,0.04,0,0,45,50,40,35,35,40,40,45,50,50,45,40,40,40,40,40,40,blue,yellow,,,staff,lily,ermine,,,crown
Heusden,Noord-Brabant,51.733.004,5.138.279,81.2,78.9,2.4,43180,37200,266000,0.04,0,0,165,175,195,205,200,190,180,160,155,145,140,135,125,115,110,105,110,yellow,blue,red,,wheel,,,lion,lion,crown
Hillegom,Zuid-Holland,52.295.626,4.579.176,13.5,12.9,0.6,20987,36000,227000,0.04,0,0,100,100,100,90,90,90,80,70,70,70,65,50,50,55,45,50,45,yellow,green,red,,lily,,,,,
Hilvarenbeek,Noord-Brabant,51.465.175,5.151.090,96.5,94.9,1.6,15082,39400,294000,0.03,0,0,45,45,45,45,40,40,40,35,25,25,25,25,25,20,20,20,20,yellow,blue,white,black,lion,key,ring,,,crown
Hilversum,Noord-Holland,52.229.170,5.166.897,46.4,45.6,0.7,86574,36400,253000,0.04,2,0,310,365,360,355,325,330,320,315,305,295,290,290,280,270,275,270,275,blue,yellow,,,buckwheat,,,,,
Hof van Twente,Overijssel,52.241.427,6.591.555,215.4,212.8,2.6,34987,36300,229000,0.05,1,0,400,260,210,145,140,105,90,80,65,55,45,45,45,40,40,40,40,yellow,green,white,,tree,cross,flower,,,crown
Hollands Kroon,Noord-Holland,52.811.859,5.001.190,662.2,358.1,304.1,47501,34900,206000,0.03,0,0,105,125,115,105,90,90,80,80,65,60,55,50,50,40,40,35,35,grey,red,blue,green,lion,crown,,,,crown
Hoogeveen,Drenthe,52.728.616,6.490.100,129.3,127.7,1.6,54680,31200,164000,0.05,0,0,360,315,310,290,260,235,220,210,190,175,160,165,165,155,140,145,140,,,,,haystack,bee,beehive,,,crown
Hoorn,Noord-Holland,52.642.365,5.060.212,53.3,20.3,33.0,71741,33800,186000,0.04,0,0,215,225,230,240,245,250,240,250,250,270,270,275,280,270,255,245,245,red,white,,,horn,,,,,unicorn
Horst aan de Maas,Limburg,51.423.226,6.030.317,191.9,188.6,3.3,41718,36600,237000,0.05,0,0,175,175,160,145,145,135,130,130,115,120,120,100,95,85,80,80,75,yellow,black,red,white,flower,,,,,crown
Houten,Utrecht,52.002.991,5.185.760,59.0,55.4,3.6,48427,42900,261000,0.04,0,0,110,115,125,135,130,120,115,105,105,110,105,105,100,105,110,95,90,white,red,blue,,,,,,,crown
Huizen,Noord-Holland,52.299.465,5.243.393,23.3,15.8,7.5,41239,38900,268000,0.04,0,0,200,195,195,190,185,195,180,165,155,155,150,145,145,135,130,135,125,yellow,red,,,milkwoman,,,,,
Hulst,Zeeland,51.280.691,4.054.887,251.8,201.4,50.4,27402,34300,182000,0.04,0,0,85,70,55,45,35,35,40,40,40,40,35,30,30,30,25,30,25,yellow,black,,,lion,leaf,,,,crown
IJsselstein,Utrecht,52.017.765,5.040.300,21.7,21.2,0.5,34268,39300,234000,0.04,0,0,90,105,100,110,110,100,100,110,105,110,110,100,100,100,100,100,95,yellow,black,,,cross,,,,,crown
Kaag en Braassem,Zuid-Holland,52.204.135,4.631.315,72.2,63.4,8.9,25758,39900,267000,0.03,0,0,75,80,75,60,55,50,45,35,30,35,40,35,35,35,30,30,30,white,green,purple,,lion,moon,crown,,,crown
Kampen,Overijssel,52.557.964,5.914.462,161.8,142.6,19.2,51069,33200,197000,0.04,0,0,290,285,270,240,210,200,185,175,165,155,145,140,140,125,120,120,115,white,black,,,stronghold,,,lion,lion,crown
Kapelle,Zeeland,51.484.755,3.959.631,49.6,37.1,12.5,12508,37800,220000,0.03,0,0,30,30,25,15,15,20,15,20,20,20,20,20,15,15,15,10,10,white,yellow,red,blue,church,cross,boar,,,crown
Katwijk,Zuid-Holland,52.198.020,4.419.943,31.1,24.5,6.6,62825,36500,249000,0.03,0,0,280,290,295,290,265,250,235,230,210,210,210,215,205,200,180,175,175,white,blue,yellow,red,tower,cross,,,,crown
Kerkrade,Limburg,50.865.946,6.070.549,22.1,21.9,0.2,46773,28500,130000,0.04,0,0,305,295,290,275,270,255,250,240,230,230,230,230,215,215,205,200,195,red,white,,,saint lambert,lion,shield,,,
Koggenland,Noord-Holland,52.652.196,4.942.015,84.1,80.5,3.6,22473,37200,232000,0.03,0,0,50,45,45,45,45,40,25,30,20,15,15,15,15,15,15,15,15,yellow,blue,white,,ship,moon,,,lion,crown
Kollumerland en Nieuwkruisland,Friesland,53.305.888,6.189.109,116.4,109.8,6.6,12856,31100,167000,0.05,0,0,85,60,45,25,15,10,0,0,0,0,0,0,0,0,0,0,0,white,red,yellow,green,star,,,,,crown
Korendijk,Zuid-Holland,51.810.961,4.342.386,100.5,77.3,23.2,10693,39000,236000,0.03,0,0,45,40,45,45,35,30,25,15,10,10,10,10,5,5,5,5,5,blue,white,yellow,green,corn,,,lion,lion,crown
Krimpen aan den IJssel,Zuid-Holland,51.914.353,4.596.233,9.0,7.8,1.2,28814,37700,218000,0.03,0,0,210,195,190,190,195,175,165,175,170,165,160,155,150,135,135,120,115,green,yellow,,,moon,,,,,
Krimpenerwaard,Zuid-Holland,51.982.222,4.781.667,161.3,161.3,0.0,54287,,,,0,0,215,210,195,185,180,180,170,145,140,140,130,120,115,115,110,105,95,green,yellow,,,lion,tower,star,,,crown
Laarbeek,Noord-Brabant,51.538.447,5.621.273,56.2,55.4,0.8,21815,36100,253000,0.04,0,0,60,70,90,80,65,60,45,50,45,40,35,35,35,35,30,30,25,blue,green,red,white,millrind,wave,cross,,,crown
Landerd,Noord-Brabant,51.726.775,5.659.492,70.7,70.4,0.3,15262,38500,267000,0.04,0,0,20,20,20,25,25,25,20,20,15,15,15,15,15,15,10,10,10,white,red,green,,martlet,flower,,,,crown
Landgraaf,Limburg,50.892.765,6.022.408,24.7,24.6,0.1,37530,31400,150000,0.04,0,0,155,175,140,140,135,135,120,120,115,100,100,105,100,95,95,100,100,yellow,blue,red,black,staff,lion,lily,,,crown
Landsmeer,Noord-Holland,52.440.338,4.920.923,26.5,22.6,3.9,10457,41700,280000,0.03,0,0,40,45,40,40,40,35,30,30,30,35,35,35,35,35,35,35,35,red,white,black,,goose,arrow,,,,
Langedijk,Noord-Holland,52.686.711,4.783.899,27.0,24.0,3.0,26984,38300,257000,0.03,1,0,45,45,45,45,35,35,30,30,25,25,25,30,25,25,25,30,35,yellow,red,black,,lion,,,,,crown
Lansingerland,Zuid-Holland,51.998.714,4.516.263,56.4,54.3,2.1,57188,43900,268000,0.03,1,0,135,135,135,145,145,145,140,140,135,130,130,130,135,135,145,135,125,yellow,white,green,red,star,diamond,,,,crown
Laren,Noord-Holland,52.256.817,5.224.155,12.4,12.4,0.0,10846,50800,541000,0.03,1,0,245,105,80,60,55,40,20,20,15,20,15,15,15,20,15,15,15,blue,yellow,,,letter,,,,,
Leek,Groningen,53.161.611,6.390.616,64.3,63.3,1.0,19607,32800,183000,0.05,0,0,55,40,35,35,35,35,30,35,30,30,30,30,30,30,35,30,35,green,white,black,,knight,horse,,,,crown
Leerdam,Zuid-Holland,51.894.313,5.096.927,34.4,33.8,0.6,20586,34600,211000,0.04,0,0,65,75,80,70,65,65,65,60,55,50,55,45,45,50,45,45,40,yellow,red,,,gatehouse,,,lion,lion,crown
Leeuwarden,Friesland,53.201.233,5.799.913,167.0,151.7,15.3,108113,28700,135000,0.05,2,0,1050,1010,965,915,845,790,750,700,695,655,630,630,615,595,570,540,540,blue,yellow,,,lion,,,,,crown
Leiden,Zuid-Holland,52.160.114,4.497.010,23.3,22.0,1.3,121199,34000,210000,0.03,1,1,810,870,885,895,885,840,805,800,785,740,735,720,705,700,675,640,620,red,white,,,key,,,,,lion
Leiderdorp,Zuid-Holland,52.150.985,4.528.173,12.3,11.6,0.7,26788,39100,239000,0.03,0,0,110,130,140,120,110,115,115,105,100,110,115,125,130,130,135,135,135,white,red,blue,,ket,wave,,,,
Leidschendam-Voorburg,Zuid-Holland,52.087.731,4.399.385,35.6,32.7,2.9,73392,37100,232000,0.03,2,0,575,650,715,695,660,630,610,565,560,545,545,515,515,500,500,505,495,white,blue,red,black,tower,wave,moon,,,crown
Lelystad,Flevoland,52.518.537,5.471.422,765.5,231.5,533.9,76170,32500,165000,0.05,1,0,355,370,390,375,355,355,350,340,340,345,340,335,335,310,300,305,305,yellow,blue,white,,lily,shield,,morse,morse,crown
Leudal,Limburg,51.261.966,5.890.997,164.9,162.8,2.1,36213,36500,213000,0.04,0,0,310,240,190,150,135,125,110,105,75,65,55,50,45,45,45,45,40,yellow,red,blue,,horn,staff,,,,crown
Leusden,Utrecht,52.131.793,5.429.469,58.9,58.6,0.3,28967,41000,267000,0.04,0,0,280,205,180,155,150,150,160,150,140,125,115,85,80,80,80,80,80,green,red,black,white,leaf,lily,cross,,,crown
Lingewaal,Gelderland,51.838.089,5.076.384,54.5,50.4,4.1,11059,39000,267000,0.04,0,0,35,40,35,40,40,35,20,25,15,15,10,10,10,10,10,10,10,white,yellow,red,grey,martlet,gatehouse,,lion,lion,crown
