municipality,province,latitude,longitude,surface_km2,surface_land_km2,surface_water_km2,population,avg_household_income_2012,avg_woz_2014,ww_ratio_2014,murders_2014,university,asylum_migrants_1999,asylum_migrants_2000,asylum_migrants_2001,asylum_migrants_2002,asylum_migrants_2003,asylum_migrants_2004,asylum_migrants_2005,asylum_migrants_2006,asylum_migrants_2007,asylum_migrants_2008,asylum_migrants_2009,asylum_migrants_2010,asylum_migrants_2011,asylum_migrants_2012,asylum_migrants_2013,asylum_migrants_2014,asylum_migrants_2015,flag_color1,flag_color2,flag_color3,flag_color4,shield_symbol_1,shield_symbol_2,shield_symbol_3,shieldholder_1,shieldholder_2,shield_crown
Zaanstad,Noord-Holland,52.457.966,4.751.043,83.2,73.9,9.4,150911,33300,177000,0.04,2,0,725,755,760,715,660,635,625,610,635,645,630,630,645,630,640,635,635,red,white,blue,,lion,,,whale,whale,
Zaltbommel,Gelderland,51.813.554,5.250.773,89.0,79.6,9.4,27207,38000,233000,0.04,0,0,105,85,80,75,65,55,50,45,40,35,35,35,30,35,30,30,30,red,blue,white,yellow,flower,stronghold,sword,lion,lion,crown
Zandvoort,Noord-Holland,52.371.149,4.533.355,44.0,32.1,12.0,16588,33700,255000,0.04,0,0,55,55,55,50,50,50,45,45,45,45,45,40,45,45,50,45,45,yellow,blue,,,herring,,,,,
Zederik,Zuid-Holland,51.925.558,5.013.633,76.5,73.7,2.8,13661,39200,256000,0.03,0,0,40,30,30,30,30,15,15,20,15,20,20,15,15,15,15,15,15,yellow,red,white,,rose,,,,,crown
Zeewolde,Flevoland,52.331.128,5.540.495,268.9,248.5,20.3,21543,39200,235000,0.04,0,0,380,270,200,150,100,35,35,35,40,35,35,35,35,40,35,35,40,blue,green,yellow,,lily,trefoil,antlers,seal,seal,crown
Zeist,Utrecht,52.090.601,5.233.253,48.7,48.5,0.1,61337,39700,301000,0.04,0,0,355,340,305,300,290,290,285,285,280,275,275,265,260,240,240,235,225,white,black,,,,,,,,
Zevenaar,Gelderland,51.929.445,6.076.959,58.0,53.3,4.7,32254,33400,186000,0.05,0,0,115,140,125,110,100,100,95,90,90,90,90,90,90,80,80,80,80,red,yellow,black,,lily,staff,,,,crown
Zoetermeer,Zuid-Holland,52.060.669,4.494.025,37.1,34.6,2.5,123614,36000,188000,0.04,0,0,605,680,740,810,895,950,990,1055,1115,1195,1215,1215,1205,1235,1215,1200,1155,blue,yellow,,,flower,,,lion,lion,crown
Zoeterwoude,Zuid-Holland,52.120.830,4.516.570,22.0,21.3,0.7,8089,40900,261000,0.03,0,0,35,35,25,25,25,25,25,20,20,15,15,20,20,15,20,15,15,blue,yellow,,,leaf,branch,,,,
Zuidhorn,Groningen,53.243.148,6.408.104,128.4,125.6,2.8,18767,35100,185000,0.04,0,0,95,80,90,75,75,70,70,65,60,50,50,40,35,35,35,35,30,blue,green,white,,staff,,,lion,griffin,crown
Zuidplas,Zuid-Holland,52.006.758,4.582.785,62.4,59.4,3.1,40878,40700,235000,0.03,0,0,150,160,160,160,155,150,140,130,125,130,130,125,120,115,120,115,115,white,blue,red,,lion,star,church,lion,lion,crown
Zundert,Noord-Brabant,51.470.701,4.662.356,121.2,120.8,0.4,21374,35800,289000,0.04,0,0,30,40,40,40,35,35,20,15,5,10,10,10,10,10,10,5,5,white,red,green,,lily,cross,,lion,lion,crown
Zutphen,Gelderland,52.142.736,6.196.058,42.9,41.0,2.0,47154,32100,185000,0.05,0,0,205,215,195,195,190,195,180,175,155,150,140,140,140,145,140,140,135,white,blue,red,,lion,cross,,lion,lion,crown
Zwartewaterland,Overijssel,52.601.512,6.059.625,87.9,82.7,5.2,22148,35600,197000,0.04,0,0,75,70,65,55,50,40,35,30,20,15,15,5,5,5,5,5,10,yellow,blue,white,red,lily,salmon,,,,crown
Zwijndrecht,Zuid-Holland,51.810.598,4.627.272,22.8,20.4,2.4,44546,34400,169000,0.04,0,0,210,220,225,230,235,245,245,235,240,255,250,235,240,225,225,225,220,yellow,black,,,,,,,,
Zwolle,Overijssel,52.516.775,6.083.022,119.4,111.4,8.0,123211,33600,200000,0.04,3,0,575,590,595,560,535,530,535,510,510,530,525,525,505,500,485,475,485,blue,white,,,cross,,,lion,lion,crown
